Course,Instructor,Skills_Developed
Introduction to Python Programming,Dr. John Smith,Python programming Problem Solving 
Data Analysis with Pandas and NumPy,Jane Doe,Data analysis Data Manipulation
Web Development Fundamentals,Chris Johnson,HTML CSS JavaScript Responsive design
Machine Learning for Beginners,Dr. Emily Adams,Machine learning Python Data preprocessing
Digital Marketing Essentials,Susan Brown,Online marketing SEO Social media marketing
Graphic Design Fundamentals,Mark Wilson,Graphic design principles Adobe Photoshop Illustrator
Financial Planning and Budgeting,David Clark,Financial planning Budgeting Investment strategies
Effective Communication Skills,Sarah Lee,Communication Public speaking Conflict resolution
Project Management Basics,Michael Anderson,Project management Team collaboration Time management
Creative Writing Workshop,Emily White,Creative writing Storytelling Poetry